state,county,site,date,OC PM2.5 LC TOR,OC PM2.5 LC TOT
02,090,0034,2022-01-11,2.621,3.21952
02,090,0034,2022-01-14,2.263,2.79548
02,090,0034,2022-01-17,1.954,2.45274
02,090,0034,2022-01-20,3.52,4.39296
02,090,0034,2022-01-23,3.796,4.52323
02,090,0034,2022-01-26,3.832,4.93982
02,090,0034,2022-01-29,3.077,3.89402
02,090,0034,2022-02-04,2.732,3.38602
02,090,0034,2022-02-07,1.065,1.33353
02,090,0034,2022-02-10,1.508,1.87723
02,090,0034,2022-02-13,1.041,1.25949
02,090,0034,2022-02-16,1.477,1.79885
02,090,0034,2022-02-19,2.84,3.45703
02,090,0034,2022-02-22,1.199,1.43685
02,090,0034,2022-02-25,3.078,3.65978
02,090,0034,2022-02-28,0.872,1.06115
02,090,0034,2022-03-03,2.905,3.67933
02,090,0034,2022-03-06,0.927,1.03107
02,090,0034,2022-03-09,1.345,1.69613
02,090,0034,2022-03-12,0.592,0.76608
02,090,0034,2022-03-15,2.161,2.79111
02,090,0034,2022-03-18,2.005,2.45603
02,090,0034,2022-03-21,1.227,1.62878
02,090,0034,2022-03-24,1.247,1.49443
02,090,0034,2022-03-27,1.258,1.48481
02,090,0034,2022-03-30,0.529,0.56936
02,090,0034,2022-04-02,0.357,0.4145
02,090,0034,2022-04-05,1.076,1.28574
02,090,0034,2022-04-08,0.265,0.30504
02,090,0034,2022-04-11,0.826,0.97093
02,090,0034,2022-04-14,1.627,1.71676
02,090,0034,2022-04-17,0.747,0.77684
02,090,0034,2022-04-20,0.794,0.9016
02,090,0034,2022-04-23,0.915,1.00482
02,090,0034,2022-04-26,0.968,1.15377
02,090,0034,2022-04-29,0.925,1.07551
02,090,0034,2022-05-02,0.764,0.9053
02,090,0034,2022-05-05,0.743,0.82644
02,090,0034,2022-05-08,0.428,0.4822
02,090,0034,2022-05-11,0.437,0.47241
02,090,0034,2022-05-14,0.652,0.74426
02,090,0034,2022-05-17,0.704,0.76205
02,090,0034,2022-05-26,1.048,1.11537
02,090,0034,2022-05-29,1.264,1.32407
02,090,0035,2022-01-08,11.708,14.23638
02,090,0035,2022-01-11,3.446,4.09325
02,090,0035,2022-01-14,1.294,1.55152
02,090,0035,2022-01-17,6.669,8.10527
02,090,0035,2022-01-20,7.11,8.53937
02,090,0035,2022-01-23,8.696,10.06147
02,090,0035,2022-01-26,14.027,17.69702
02,090,0035,2022-01-29,4.782,5.5141
02,090,0035,2022-02-01,28.983,35.69363
02,090,0035,2022-02-04,0.866,0.98368
02,090,0035,2022-02-07,1.08,1.27677
02,090,0035,2022-02-10,1.902,2.22694
